-----------------------NETWORK CONFIG-------------------------------
DATE: 2021-05-16, TIME: 12:47:30
num_exp = 10, learning_rate = 0.001
num_of_iterations = 100, mini_batch_size = 16,
layers = [1024, 1024, 1024, 1024]
-----------------------------END------------------------------------
start overall process 1:
iter= 1, reward= 4.58, time elapsed= 22 (s)
iter= 2, reward= 4.52, time elapsed= 44 (s)
iter= 3, reward= 4.18, time elapsed= 65 (s)
iter= 4, reward= 4.12, time elapsed= 86 (s)
iter= 5, reward= 4.22, time elapsed= 107 (s)
iter= 6, reward= 4.33, time elapsed= 128 (s)
iter= 7, reward= 4.15, time elapsed= 150 (s)
iter= 8, reward= 4.22, time elapsed= 171 (s)
iter= 9, reward= 4.27, time elapsed= 192 (s)
iter= 10, reward= 4.20, time elapsed= 212 (s)
iter= 11, reward= 4.59, time elapsed= 233 (s)
iter= 12, reward= 4.62, time elapsed= 255 (s)
iter= 13, reward= 4.76, time elapsed= 276 (s)
iter= 14, reward= 4.62, time elapsed= 297 (s)
iter= 15, reward= 4.66, time elapsed= 318 (s)
iter= 16, reward= 4.64, time elapsed= 339 (s)
iter= 17, reward= 4.66, time elapsed= 360 (s)
iter= 18, reward= 4.67, time elapsed= 381 (s)
iter= 19, reward= 4.65, time elapsed= 402 (s)
iter= 20, reward= 4.59, time elapsed= 423 (s)
iter= 21, reward= 5.46, time elapsed= 444 (s)
iter= 22, reward= 5.33, time elapsed= 465 (s)
iter= 23, reward= 5.31, time elapsed= 486 (s)
iter= 24, reward= 5.56, time elapsed= 507 (s)
iter= 25, reward= 5.28, time elapsed= 528 (s)
iter= 26, reward= 5.66, time elapsed= 549 (s)
iter= 27, reward= 5.77, time elapsed= 570 (s)
iter= 28, reward= 5.95, time elapsed= 591 (s)
iter= 29, reward= 5.90, time elapsed= 611 (s)
iter= 30, reward= 5.76, time elapsed= 632 (s)
iter= 31, reward= 5.93, time elapsed= 653 (s)
iter= 32, reward= 5.83, time elapsed= 674 (s)
iter= 33, reward= 5.91, time elapsed= 695 (s)
iter= 34, reward= 5.76, time elapsed= 716 (s)
iter= 35, reward= 5.79, time elapsed= 737 (s)
iter= 36, reward= 5.74, time elapsed= 758 (s)
iter= 37, reward= 5.78, time elapsed= 779 (s)
iter= 38, reward= 5.74, time elapsed= 800 (s)
iter= 39, reward= 5.69, time elapsed= 821 (s)
iter= 40, reward= 5.61, time elapsed= 842 (s)
iter= 41, reward= 5.57, time elapsed= 863 (s)
iter= 42, reward= 5.68, time elapsed= 884 (s)
iter= 43, reward= 5.94, time elapsed= 905 (s)
iter= 44, reward= 5.80, time elapsed= 926 (s)
iter= 45, reward= 5.60, time elapsed= 947 (s)
iter= 46, reward= 5.79, time elapsed= 968 (s)
iter= 47, reward= 5.76, time elapsed= 989 (s)
iter= 48, reward= 5.77, time elapsed= 1010 (s)
iter= 49, reward= 5.84, time elapsed= 1030 (s)
iter= 50, reward= 5.88, time elapsed= 1051 (s)
